แต่|พี่|ให้|หลาย|ข้อ,พี่ให้??
ไล่|ละ|เนี่ย,ไปนะ บะบายยยยยยยยยยยยยยยยยยยยยยยยยยยยยยย
ไม่|อ่าน|เลย|อ่ะ|นะ,อ่านนนนน
เสร็จ|ไป|ยัง,เสร็จและ
ไม่ได้|ออน|กัน|อ่ะ,อืม
ดู|ใน|ลุ|เลย,โหลๆ
ใช่|เร้อ|ออ,ฝันดีจ้าาา  ^^,ใช่เซ่
พึ่ง|เสร็จ|สอง|ชุด,โหหหห
ซ้อม|เขียน|โปรแกรม,อ่าฮ่ะ
ใหญ่|แหละ,แน่ใจนะ
พูด|มา|เหอะ,อ่าๆๆ  
เรื่องจริง|เด่,จริงอะะะะ
แก้ม|ป่อง|หมด|ละ,จัดเตียง
อ่า|มี|อะไร|ละมั่ง,มีข้อสอบนิๆ
ประโยคคำถาม|เฟ้ย,อ๋อ
ทำการบ้าน|ยุ|หรอ,ช่ายยยย
มา|เป็น|พี่|ดิ,เอออะ,อ้าวว
ทำ|ด้วย|ไหว|มะ,คือ
ได้|เล่น|กันเอง,ใครดี
ที่แล้ว|ได้|ลง|ด้วย|มั้ย|ครับ,ไม่คับ
หน้าม้า|เจงๆ,ทำไมอ่ะ 555
ไร้สาระ|อ่ะ,ไม่หรอก
นักโทษ|วางระเบิด|แหกคุก,เอ่อ
เค้า|บอก|ของ|เรา|ต่อ|แค่,ช่าย
เดี๋ยว|ไว้|กลับมา|ฟัง,ทำไมอ่าาา
โหลด|บิท|อ่ะ,อือ
ก็|ดู|กับ|ป่ะ,ไร
โบว์|เรียน|คณะ|อะไร|อ่ะ,นิเทศค่ะ =)
ช่วย|แปล|เทค|ป่าว|ล่ะ,ไม่เป็นไรรรรรรร
อืม|โอเค,อะเค
ไป|ไว|จิง,อยากเจอเพิ่ล,จบแล้วๆ
เห็น|ฝันดี|มะ,อ๋อ
ไว้|วันหลัง|ก็ได้,เย้ๆ >,
เล่น|ดู|ยัง,ยัง
อาทิตย์|หน้า|ใช่|ป่าว|อ่ะ,ใช่,โหห
จะ|ออก|หอน|แล้ว|หรอ,หะ
รุ่นพี่|เค้า|ด่า|ยับ|แห,ชัวเรย
เรื่อง|นี้|ฟิว|ไม่|ยุ่ง,ปวดหัว
นั่ง|รอ|เพื่อน|อยู่|หรอ,ค่ะ
คิดมาก|อีก|แระ,ป่าว
บ้า|ละ,ทำไรคะ
อ่าน|ดิ,หรออออ
เวลา|ทำ|ไง|อ่ะ,รอ,ไม่รุอ่าาาา   -*-
พวก|นั้น|ไม่ได้|ยุ|แถว|มอ,อยุหอใน
ชิง|สอบ|ถึง|วัน|ไหน|อ่ะ,สอบ 31,วันศุกนี้,16 ค่ะ,24กับ26อ่างิ,อ้อออ,24 อะ,สอบอะไร,13อ่า,อาทิด,พน ค่า,วันจันนน,สิ้นเดืิอน,9อะ,พน เช้า
เมื่อวาน|ก่อน|กลับ|อ่ะ,โห่วว
อึด|เก,เรื่องน้
งง|ดิ,ไม่ๆ
ถ่ายรูป|มา|หน่อย,ไลน์
กิน|เด็ก|เฉย|ห่าง|แค่|ปี,หึ
แล้ว|นี้|พึ่ง|ตื่น|หรอ,คร้า,คับ
โจทย์|ประยุกต์|ดี|อ่ะ,ไม่ดีๆๆๆๆ
ตอบ|ลอง|คละ,เข้าแล้ว,ดีจริงๆ55555555
เมา|เบา|หน่อย|ละ|กัน,ไม่เมาาา5555
แมว|มัน|ดู|หยิ่ง|ง่ะ,อิอิ
ใคร|ถาม,ฝันดี
ทำ|อะไร|กัน|อยู่|นั้น,ดูหนัง :3,ป่าวอะ
นายพราน,อือ ช่าย
อ่า|ตอน|เข้า|สี|อะ|หรอ,ป่าวๆ
เหลือ|อะไร|หรอ,โจ๊ก
อธิบาย|ไง|เนี่ย,ชั่งเถอะ
ไอ|ง่วง|ยัง|อ่ะ,ยังจ้าา,ยังอ่ะ,ยังอ่า,ไม่อ่ะ
อย่า|ปิดบัง|กัน|อีก|ได้|ป่ะ,หมดแล้ว
แล้ว|ทำ|อะไร|ดึกดื่น|เชียว,เก็บเวล,ดูหนัง,นอนเล่นนน55
แค่|ไม่|อยาก|พูด|ป่ะ,อืม
มากกว่า|พ่อ|เย้|ออ,5555 เฮ็ดหยัง,ฮ่าๆ,แน่นอน555
ส่ง|ใน|ไลน์|ละ,ได้เลย
มี|ข้อสอบ|ลก|คอม|ป่ะ,ยังๆ,ปีไรล่ะ
ทั้งวัน|นี้|ล่ะ,ช่ายๆๆ
นั้น|พึ่ง|ตื่น|เร้อ,ฮี่ๆ
เกือบจะ|ร้อง|ใน|ลาน|แดง,ไปรอดู
สรุป|ละ|สอบ|แบบ|ไหน|อ่ะ,ฟัง
ไม่น่า|จะเข้,นั่นดิ
แล้ว|ได้หน้า|จอ|ขาว|ตลอด|เลย,หรอ
เรียน|นี่|ไง,ขอโทษ,ไม่ใช่
คัด|เพิ่ม|พน|หรอ,ไม่ละครับ
เป้|หรอ,ครึ่งมั้ง
อย่า|เครียด|มาก|ละ|กัน|นะ,อื้อ
อัน|แรก|ได้,อ๋อ
ข้อเขียน|อ่ะ,อ๋อ
ไม่|ต่อ|ละ|สิ|นะ|วันนี้,ช่ายๆ,ถามวิศนุ
เออ|ทีหลัง|ได้|ไม่|ส่ง,สรุปคือ
อาทิตย์|นี้|สอบ|อีก|ป่ะ,สอบๆ
ได้|มีเนื้อมีหนัง|มั่ง,ดีมากกก
หมายถึง|พี่|ด้วย|ป่ะ|เนี่ย,อะไร ?,ป่าว,หือออ ?
แต่|ก็|ต้อง|ตื่น|เช้า|อ่ะ,ไปไหน
ตาราง|ไว้|ติด|รูป|หรอ,ใช่ๆ
เออ|เก็บ|เต็ม,แหยะ
เอา|ไง,ลองปะละ
เห็น|ว่า|ไป|สยาม,อ่อดีๆ
ติว|ใคร|ยุ|ป่ะ,เยอะ
โห่|คน|อะไร|ใช้|แต่|กำลัง,แน่น๊อนนน,ดูละคร ฮิฮิ
กุ|เฉย|อ่ะ,ออ
แล้ว|จะ|มา|อีก|ป่ะ,มามั้ง ถถถถถ.
ชอบ|หน้า|ผม|อ่ะ,อืม
โว|นี้|ก็|จิก|อด|อย่าง,หึ
นี้|รูป,อะเค
เป็น|ไง|มั่ง|ได้|หัวข้อ|ยัง,กำลังๆ,ยาก,เหลือ 4 5
ติ|ต้อง|ป่ะ,ไรง่ะ
ไป|อาบน้ำ|ดี|ฝ่า,รีบหรอ
งั้น|ก็|พอได้|ยุ,กี่เวล
กะ|เอา|แค่|ที่|จาร|บอกอ,ไรงะ
มะ|วาน|นอน|กี่|โมง|นั่น,4ทุ่ม,ตี 3 กว่่าๆ,จำไม่ได้ 55
อีก|แปป|เดี๋ยว|กลับ|ละ,มืงคนเดียว,ทำไมอ่ะ - -,โอเค,เออออออ,หะหะหะ 
เรา|ยัง|เห|เลย,อ่าววว
จัด|เรื่อง|หุ้น|ให้|หน่อย,ออ
สัญญา|อะไร|หน่อย|เดะ,ว่า
ถ้า|รูป|กับ|หมี|ขั้วโลก,ไม่ใช่ละะะะะะะ
เห็น|ตอนเช้า|ไม่|ค่อย|ออน|เลย,เล่นเกม 5555555',ปีใหม่ไง
แล้วแต่|ถนัด|เลย,โอเค
กด|เล่น,หึหึ
ตอนนี้|ออน|กับ|คอม|ป่ะ,ช่าย
หลอน|โคตร,เก๊าขอโทษ
ที่|ตี๋|ตาย,เออ
แก|แหละ,ไม่นะ
รอด|อะไร|อ่ะ,ผีชีวะ
เรียง|ได้|ด้วย|หรอ,ไม่ๆๆๆๆๆๆๆๆๆๆๆๆ
ก็|ยัง|งัวเงีย|อยู่|อ่า,อืม,ไม่ทำนิ??
แล้ว|เพื่อน|ติว|กัน|วัน|ไหน,
อ่าน|เคมี|ต่อ,บาย,เยสสส,อ่า
รวม|แล้ว|อัน|ไหน|แพง|กว่าน,พัดลม
ไม่มี|กุญแจ,เจริญ
นิ้วชี้|อ่ะ|นะ,เยสสสส
สุดท้าย|ก็|ทำให้|ใคร|กิน|ก็ได้,จริงๆอะ
มาน|ละ|หรอ,สักพักละงะ
กุ|ดอท,เออๆ
ลง|อะไร|อ่ะ,มั่ยมีรัยแล้วว
เพื่อนเก่า|เรา|อ่ะ,คร่อก
พรุ่งนี้|วันสุดท้าย|ด้วย|อีก|อยาก|บูม,หู้ยย5555,ไปนอนละ
ตก|ไทย|ด้วย,กำ
เยอะ|ไป|ป่ะ,อ่าหะ
แล้ว|ดี้|เคย|เล่นกล|บ้าง|ป่ะ,ไม่เคย
คุย|กับ|น้อง|รหัส|นิดหน่อย,คุยว่า
พี่|เค้า|ว่า|มา|งั้น|อ่ะ,เจอละ,อื้ออ
จะ|ร้อง|แระ,เปนไรอะ
ไอ|ไป|ป่ะ,คือไรร
ขอ|ถาม|นิด,ว่า
แล้ว|คือ|ไร,ป่าว,ข้อไหน,เพลง,อ่านดิ
นอน|ละ|หรอ,ยังงง
หวัด|ดีน|ออ|ทำ|อะไร|ยุ,ดีจ้าา
ไว้|สักวัน|จะ|เล่า|ละ|กัน,อือ ใช่,อื้อ ,จร๊ๆๆ
สู้|นี้|เทอม|สอง|ใช่|ป่ะ,ใช่,ก้จิงอ่าาาา
คิดถึง|ก็|ไปหา|เอง|ได้|น่า,มาสิ
แข่ง|รา|อ่ะ,อ่อ คับ ๆ
เฮ้อ|เน็ต|เน่า|อีก,ไม่เป็นไรๆๆ,น้านวย,ฟิว,ฮ่าาา
เป็น|พี่|คง|วาด|ไม่ได้|อ่ะ,ไปทำเลยๆๆ,เวร,ไม่ดี
นัด|กัน|เร็ว|จริง,ถูกกก
ตลก|ดิ,ละ
มือ|เรา|มี|ใช่|ป่ะ,ใช่,ไม่มีอ่า
ไม่|มา|สัก|คน,สม
เลี้ยง|บ้าง|ไร|ละ|กัน,สยาม เซ็นเวิล,ดอท
เขียน|โปรแกรม|จะ|ดีมาก,บนคอม,อืมม,หาลิ้งมาดิ,ย้ำว่านิดๆ,ฮับป๋ม
เช้า|คน|น้อย,อ่าหะ,เอ่าหรอ,อือ
งก|จิง,งิงิ
สงกรานต์|จ๋า|เที่ยว|ไหน|อ่ะ,ไม่รุสิ
ลงพุง|แห,ใช่ดิ 555
ติดลม|เลย|อ่ะ|เด่,ฟังละ
ปีใหม่|นี้|ไปเที่ยว|ไหน|มั่ง|อ่ะ,ไม่อ่าาา,ทำไมหรอ
อ่า|เด๋ว|ลองดู,หนุกๆ
ฝาก|ซื้อ|โล|ตี,ไม่
ถาม|ผิดคน|ละ,ลืม
กลับ|คนเดียว|หรอ,ช่าย
ไปหา|หมอบ|ยัง|อ่ะ,ยังเลย
แค่|เรียน|เป็น|อังกฤษ|ล้วน|น่ะ,อ่อออ
กลัว|ที|ไหน,จ้า
ชื่อจริง,จริงๆๆๆ
อ่า|ไม่ได้|หรอก|หรอ|หรอก|หรอ,ได้ๆมั้ง
ถ้า|ทุ่ม|นึง|แล้ว|ไม่เป็นไร|นะ,หาา
พบ|ปัญหา|อะไร|บ้าง|ป่ะ,ไม่มีนะ
เดือน|นึง|เรา|เหลือประมาณ|พัน|อ่ะ,อื้อๆ
มี|แต่|คน|ไอโฟน|แฮะ,ทำไมอ่า555
อ่าน|ยัง|เยอะ,เยอะ
ได้|ปกติ,กำ
กลับ|หอย,กำลังงง
เด่ว|รอด|พี่|เลย,คือ
ก็|ทำ|เป็น,ไงต่อ
จ้ะ|ไม่สน|อ่ะ,ค่าาาา -3-
เก|กับ|วงจรไฟฟ้า|อ่ะ,อ๋อ
ก็|โหด|ดี,ดีๆ
ทำ|ไร|นั่น|ไม่|หลับ|นอน,ดูหนัง-.-
อ่าน|งาน,จะเอาไง
หมายถึง|พี่|ไม่ใช่|เด็ก|เฟ้ย,มิใช่ๆๆๆ,ก็เอออะ,นั่นแหละ
ละ|จะ|แข่ง|ต่อ|วัน|ไหน,นั่นสิ
กุ|จำ|ตามทัน|มั้ย|เนี่ย,ไปดิ
